scorer,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,tail,tail,tail,box_ul,box_ul,box_ul,box_ur,box_ur,box_ur,box_lr,box_lr,box_lr,box_ll,box_ll,box_ll
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,258.4961853027344,58.32294845581055,0.9999997615814209,278.3782653808594,77.75909423828125,1.0,280.8587341308594,51.973628997802734,1.0,338.4156188964844,102.34741973876953,0.9999997615814209,69.06067657470703,36.64643859863281,1.0,413.1556091308594,13.001245498657227,0.9999779462814331,274.7738342285156,229.13352966308594,0.9999399185180664,224.25946044921875,230.36585998535156,0.989116370677948
1,259.58233642578125,63.21540069580078,0.9999985694885254,278.5133056640625,81.2242431640625,1.0,281.1528625488281,55.28800582885742,1.0,338.4845275878906,102.34741973876953,1.0,69.06912994384766,36.68498992919922,1.0,414.374755859375,13.00316047668457,0.999954104423523,274.86572265625,229.21913146972656,0.9997790455818176,224.6984405517578,230.45748901367188,0.9345179796218872
2,259.58233642578125,65.41773223876953,0.9999986886978149,278.5133056640625,84.99211883544922,1.0,281.1528625488281,58.110477447509766,1.0,338.4853515625,102.89110565185547,1.0,69.06912994384766,36.68923568725586,1.0,414.5451354980469,13.00316047668457,0.9999485015869141,275.1245422363281,229.3017578125,0.9999850988388062,224.70538330078125,230.86244201660156,0.9826399683952332
3,258.4961853027344,65.65496063232422,0.9999979734420776,278.3782653808594,85.13323974609375,1.0,280.8587341308594,58.352500915527344,1.0,338.4853515625,102.89110565185547,1.0,69.06912994384766,36.68498992919922,1.0,414.5451354980469,13.001245498657227,0.9999492168426514,275.1245422363281,229.3889617919922,0.9999868869781494,224.70538330078125,230.86244201660156,0.986697256565094
4,258.43231201171875,69.9255142211914,0.9998094439506531,277.9800109863281,88.68279266357422,1.0,277.1524353027344,62.22480773925781,1.0,338.4853515625,103.7344970703125,0.9999957084655762,69.07852935791016,36.68498992919922,1.0,414.5451354980469,12.883325576782227,0.9999159574508667,275.1245422363281,229.3889617919922,0.9999822378158569,224.6984405517578,230.86244201660156,0.9830916523933411
5,255.10348510742188,72.25007629394531,0.9907630085945129,274.0328674316406,90.10618591308594,1.0,272.9082946777344,65.34801483154297,1.0,338.4853515625,104.1684341430664,0.9999943971633911,69.29969024658203,36.68923568725586,1.0,414.5451354980469,12.883325576782227,0.9999375343322754,274.8524475097656,229.3889617919922,0.9999477863311768,224.6984405517578,230.80731201171875,0.968356192111969
6,249.17938232421875,77.60126495361328,0.9782413244247437,271.1110534667969,94.30293273925781,1.0,269.5259094238281,65.94377899169922,1.0,338.4853515625,104.3995590209961,0.9999951124191284,69.31568908691406,36.70515060424805,1.0,414.3302307128906,12.883325576782227,0.9999681711196899,274.8524475097656,228.8909149169922,0.999976634979248,224.64205932617188,230.80731201171875,0.9745748043060303
7,249.17938232421875,77.60126495361328,0.55928635597229,264.2458801269531,94.59819030761719,0.9999977350234985,264.5415954589844,69.75128936767578,0.9999997615814209,338.2536926269531,108.85589599609375,0.99997878074646,69.93562316894531,36.895965576171875,1.0,413.9717102050781,12.900118827819824,0.999981164932251,274.8524475097656,228.49143981933594,0.9999964237213135,224.61605834960938,230.7512969970703,0.9729986786842346
8,249.17938232421875,79.16443634033203,0.0019362198654562235,260.6378479003906,97.70338439941406,0.9993243217468262,258.66265869140625,71.75023651123047,0.999127209186554,336.9516296386719,121.34625244140625,0.8192483186721802,70.22674560546875,37.1163444519043,1.0,412.7477111816406,13.656808853149414,0.9999816417694092,275.5219421386719,228.35108947753906,1.0,224.5643768310547,230.63314819335938,0.9994458556175232
