scorer,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,tail,tail,tail,box_ul,box_ul,box_ul,box_ur,box_ur,box_ur,box_lr,box_lr,box_lr,box_ll,box_ll,box_ll
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,379.96343994140625,38.16117858886719,0.0015212340513244271,370.7221374511719,25.414262771606445,0.9964284300804138,371.475830078125,37.766326904296875,0.9999998807907104,320.5544738769531,102.11096954345703,1.0,71.73936462402344,49.811370849609375,1.0,405.6968688964844,-1.210465431213379,0.0038856780156493187,294.9828186035156,220.541748046875,1.0,239.98345947265625,228.19989013671875,1.0
10,379.96343994140625,38.00436019897461,0.0015039544086903334,370.7221374511719,25.468162536621094,0.9950627684593201,371.4865417480469,37.766326904296875,0.9999997615814209,320.2867431640625,102.12378692626953,1.0,71.16004943847656,49.71440124511719,1.0,405.92803955078125,-1.2163915634155273,0.004226934630423784,294.9671325683594,220.52125549316406,1.0,239.90536499023438,228.21620178222656,1.0
11,379.4223937988281,38.00436019897461,0.0011504379799589515,370.69036865234375,25.464527130126953,0.9935943484306335,371.4865417480469,37.4830322265625,0.9999998807907104,319.29620361328125,102.12378692626953,1.0,71.0398941040039,49.651485443115234,1.0,406.0754699707031,-1.2190499305725098,0.00332273100502789,294.9828186035156,220.52125549316406,1.0,239.7804412841797,228.21620178222656,1.0
12,379.4223937988281,38.00436019897461,0.0012528360821306705,370.6513671875,25.468162536621094,0.9892095923423767,371.4865417480469,37.4830322265625,0.9999998807907104,319.21612548828125,102.2219467163086,1.0,71.0398941040039,49.651485443115234,1.0,406.0754699707031,-1.2190499305725098,0.0026393861044198275,294.9828186035156,220.541748046875,1.0,239.68191528320312,228.2688751220703,1.0
13,379.2841796875,37.9105224609375,0.001363565563224256,370.2644348144531,25.468162536621094,0.9957137107849121,371.4865417480469,37.4830322265625,0.9999998807907104,319.21612548828125,102.33800506591797,1.0,71.0398941040039,49.587650299072266,1.0,406.0754699707031,-1.2190499305725098,0.002782054478302598,295.22662353515625,220.73207092285156,1.0,239.68191528320312,228.31394958496094,1.0
14,379.13128662109375,37.85677719116211,0.0041349297389388084,363.1739807128906,26.980093002319336,0.9997320771217346,369.7919006347656,41.765865325927734,1.0,319.1861877441406,103.29405975341797,1.0,71.0398941040039,49.587650299072266,1.0,405.939208984375,-0.7295036315917969,0.0020210747607052326,295.5685119628906,220.75836181640625,1.0,239.68191528320312,228.32716369628906,1.0
15,370.51397705078125,17.40730857849121,0.017954545095562935,346.5237121582031,31.644500732421875,1.0,369.7412414550781,42.845340728759766,1.0,319.21612548828125,103.30762481689453,1.0,71.05341339111328,49.5716552734375,1.0,403.54925537109375,-0.667050838470459,0.009570195339620113,295.60498046875,220.9238739013672,1.0,239.793701171875,228.4014129638672,1.0
16,367.8587951660156,15.915380477905273,0.9958246946334839,345.28424072265625,34.54840850830078,1.0,369.7412414550781,42.845340728759766,1.0,319.6438903808594,103.30762481689453,1.0,71.05341339111328,49.47970199584961,1.0,402.0069580078125,-0.5450544357299805,0.00492805615067482,295.6648864746094,221.05198669433594,1.0,239.92965698242188,228.4047088623047,1.0
17,366.4814147949219,7.367238998413086,0.9999996423721313,343.88922119140625,34.54840850830078,1.0,369.7412414550781,42.845340728759766,1.0,319.97210693359375,103.30762481689453,1.0,71.18097686767578,49.40593719482422,1.0,402.0069580078125,-0.24290704727172852,0.0012235344620421529,295.6777648925781,221.05198669433594,1.0,239.96018981933594,228.4014129638672,1.0
18,365.3186950683594,2.3207950592041016,0.9987574815750122,342.5414733886719,34.54840850830078,1.0,374.546142578125,39.09264373779297,1.0,321.47601318359375,98.55744934082031,1.0,71.18097686767578,49.21468734741211,1.0,369.0399475097656,3.4373061656951904,0.0011166644981130958,295.7232666015625,221.20155334472656,1.0,240.04042053222656,228.4014129638672,1.0
19,364.228271484375,-0.13519668579101562,0.0015370789915323257,342.5414733886719,28.219873428344727,1.0,374.8262634277344,31.354537963867188,1.0,321.76031494140625,96.05428314208984,1.0,71.74340057373047,49.1226692199707,1.0,367.89459228515625,3.719367265701294,0.0003539720200933516,295.8494567871094,221.1273651123047,1.0,240.0775909423828,228.4014129638672,1.0
